Table Name Index System Call              Handler Address    Symbol                                                      
64bit        347                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        348                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        349                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        350                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        351                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        352                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        353                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        354                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        355                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        356                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        357                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        358                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        359                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        360                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        361                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        362                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        363                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        364                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        365                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        366                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        367                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        368                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        369                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        370                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        371                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        372                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        373                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        374                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        375                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        376                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        377                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        378                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        379                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        380                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        381                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        382                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        383                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        384                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        385                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        386                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        387                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        388                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        389                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        390                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        391                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        392                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        393                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        394                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        395                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        396                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        397                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        398                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        399                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        400                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
